,AKRA.JK,ANTM.JK,ASII.JK,AUTO.JK,AVIA.JK,BBCA.JK,BBNI.JK,BBRI.JK,BBTN.JK,BIRD.JK,BJBR.JK,BJTM.JK,BMRI.JK,BTPS.JK,CTRA.JK,DSNG.JK,ELSA.JK,EMTK.JK,ESSA.JK,HEAL.JK,ICBP.JK,INCO.JK,INDF.JK,INTP.JK,JPFA.JK,JSMR.JK,KLBF.JK,MPMX.JK,MTEL.JK,PGEO.JK,PNBN.JK,POWR.JK,PRDA.JK,PWON.JK,SCMA.JK,SIDO.JK,SILO.JK,SIMP.JK,SMGR.JK,SMSM.JK,SSMS.JK,TAPG.JK,TLKM.JK,UNTR.JK,UNVR.JK
SIDO.JK,351157,431423,2029304,714729,39667,3853269,1751626,1792701,262044,517037,193030,21917,2189577,391616,231019,54341,95118,22687,45970,348204,4680104,1914417,2687930,3638334,318274,1763386,476696,150527,14335,173391,319713,30214,1682803,73267,218576,0,788684,111613,2084743,535842,255875,49121,1231612,10246210,1067900
SILO.JK,362514,365096,1240619,108283,837616,3064584,933444,996819,472832,223657,595653,807481,1400892,449059,512199,722132,892517,824715,741131,344247,3891419,1090583,1899246,2849650,233477,716031,362429,638157,775048,555720,241403,785188,916998,874531,1007261,788684,0,900298,1262389,190467,394833,823642,468818,9457525,483716
SIMP.JK,462770,543036,2140917,826343,46694,3964882,1863240,1904314,373657,628651,304644,92816,2301190,503229,342633,139756,14060,63702,159166,459818,4791717,2026031,2799544,3749948,429887,1874999,588310,262140,125249,316432,431326,115109,1794416,14101,106962,111613,900298,0,2196357,647455,367489,67892,1343226,10357823,1179513
SMGR.JK,1733586,1653320,260562,1256890,2133675,1768525,551238,362380,1822699,1567706,1891712,2103540,410218,1693127,1853723,2056601,2188576,2120774,2037190,1736538,2595360,69656,581306,1224374,1766469,583095,1608047,1934216,2071107,1879925,1765030,2081247,108587,2170591,2303320,2084743,1262389,2196357,0,1548901,1828868,2119701,642845,8161466,687109
SMSM.JK,105968,86593,1493462,90837,584773,3317426,1215784,1256859,216003,28791,342811,554639,1653735,190780,253507,461064,639675,571872,488289,90892,4144262,1378575,2152088,3102492,60817,1227544,107869,385314,522205,292848,54448,532346,1146961,621689,754418,535842,190467,647455,1548901,0,140004,570800,695770,9710368,456995
SSMS.JK,51986,74071,1773428,332903,304807,3597393,1495751,1536825,54651,181742,49506,274672,1933701,65572,64097,213668,359708,289219,191873,41300,4424228,1658541,2432054,3382459,53861,1507510,90947,82320,242239,90035,35035,252379,1426927,341723,474452,255875,394833,367489,1828868,140004,0,290833,975736,9990334,788298
TAPG.JK,386115,466381,2064262,749687,55808,3888227,1786584,1827659,297002,551995,227163,65245,2224535,425094,248509,38760,56476,56279,41816,383163,4715062,1949375,2722888,3673293,353232,1798344,511654,157867,72197,129881,354671,35097,1717761,42434,183618,49121,823642,67892,2119701,570800,290833,0,1266570,10281168,1102858
TLKM.JK,880455,800189,797691,378587,1280544,2621656,435906,436978,969568,714574,1038581,1250409,957964,839996,1000592,1203470,1335445,1267643,1184059,883407,3448491,480552,1456318,2406722,913338,540879,754915,1081085,1217976,1026793,911899,1228116,392459,1317459,1450189,1231612,468818,1343226,642845,695770,975736,1266570,0,9014597,98956
UNTR.JK,9895052,9814786,8216905,9531480,10295142,6392941,8494583,8453508,9984166,9729172,10053179,10265007,8056632,9854594,10015190,10218067,10350043,10282241,10198657,9898005,5566105,8331792,7558279,6607875,9927936,8482824,9769513,10095682,10232573,10041391,9926497,10242714,8563407,10332057,10464786,10246210,9457525,10357823,8161466,9710368,9990334,10281168,9014597,0,9178310
UNVR.JK,701492,560095,961404,281852,1116832,2785368,562636,523937,805856,428941,874869,1086697,1116451,512016,836880,1039757,1171733,1103931,1020347,719450,3612204,567661,1620030,2570434,755914,737952,426178,917372,1054263,863081,755803,1064404,404989,1153747,1286476,1067900,483716,1179513,687109,456995,788298,1102858,98956,9178310,0
